timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1739579671118,81,Show List Form,200,,MainThreadGroup 1-12,text,true,,537,185,16,16,http://192.168.1.107:8080/books,74,0,1
1739579670085,1119,Show List Form,200,,MainThreadGroup 1-1,text,true,,537,185,16,16,http://192.168.1.107:8080/books,1118,0,37
1739579670808,396,Show List Form,200,,MainThreadGroup 1-9,text,true,,537,185,16,16,http://192.168.1.107:8080/books,396,0,1
1739579670085,1120,Show List Form,200,,MainThreadGroup 1-2,text,true,,537,185,16,16,http://192.168.1.107:8080/books,1120,0,37
1739579670919,286,Show List Form,200,,MainThreadGroup 1-10,text,true,,537,185,16,16,http://192.168.1.107:8080/books,285,0,0
1739579670263,936,Show List Form,200,,MainThreadGroup 1-4,text,true,,537,185,16,16,http://192.168.1.107:8080/books,936,0,1
1739579670697,507,Show List Form,200,,MainThreadGroup 1-8,text,true,,537,185,16,16,http://192.168.1.107:8080/books,507,0,1
1739579670591,608,Show List Form,200,,MainThreadGroup 1-7,text,true,,537,185,16,16,http://192.168.1.107:8080/books,601,0,1
1739579670482,730,Show List Form,200,,MainThreadGroup 1-6,text,true,,537,185,16,16,http://192.168.1.107:8080/books,730,0,2
1739579671009,205,Show List Form,200,,MainThreadGroup 1-11,text,true,,537,185,16,16,http://192.168.1.107:8080/books,205,0,3
1739579670379,835,Show List Form,200,,MainThreadGroup 1-5,text,true,,537,185,16,16,http://192.168.1.107:8080/books,813,0,2
1739579670157,1057,Show List Form,200,,MainThreadGroup 1-3,text,true,,537,185,16,16,http://192.168.1.107:8080/books,1057,0,1
1739579671224,20,Show List Form,200,,MainThreadGroup 1-13,text,true,,537,185,16,16,http://192.168.1.107:8080/books,20,0,0
1739579671337,38,Show List Form,200,,MainThreadGroup 1-14,text,true,,537,185,17,17,http://192.168.1.107:8080/books,35,0,1
1739579671474,45,Show List Form,200,,MainThreadGroup 1-15,text,true,,537,185,19,19,http://192.168.1.107:8080/books,43,0,1
1739579671557,25,Show List Form,200,,MainThreadGroup 1-16,text,true,,537,185,19,19,http://192.168.1.107:8080/books,25,0,2
1739579671684,52,Show List Form,200,,MainThreadGroup 1-17,text,true,,537,185,21,21,http://192.168.1.107:8080/books,52,0,1
1739579671800,29,Show List Form,200,,MainThreadGroup 1-18,text,true,,537,185,21,21,http://192.168.1.107:8080/books,25,0,1
1739579671607,260,Show Add Form,200,,MainThreadGroup 1-2,text,true,,842,129,22,22,http://192.168.1.107:8080/books/add,257,0,0
1739579671617,254,Show Add Form,200,,MainThreadGroup 1-11,text,true,,842,129,22,22,http://192.168.1.107:8080/books/add,254,0,0
1739579671608,264,Show Add Form,200,,MainThreadGroup 1-4,text,true,,842,129,22,22,http://192.168.1.107:8080/books/add,264,0,0
1739579671609,263,Show Add Form,200,,MainThreadGroup 1-10,text,true,,842,129,22,22,http://192.168.1.107:8080/books/add,256,0,0
1739579671605,269,Show Add Form,200,,MainThreadGroup 1-9,text,true,,842,129,22,22,http://192.168.1.107:8080/books/add,260,0,0
1739579671625,255,Show Add Form,200,,MainThreadGroup 1-5,text,true,,842,129,22,22,http://192.168.1.107:8080/books/add,245,0,0
1739579671779,98,Show Add Form,200,,MainThreadGroup 1-14,text,true,,842,129,22,22,http://192.168.1.107:8080/books/add,97,0,0
1739579671605,276,Show Add Form,200,,MainThreadGroup 1-1,text,true,,842,129,22,22,http://192.168.1.107:8080/books/add,267,0,0
1739579671647,236,Show Add Form,200,,MainThreadGroup 1-13,text,true,,842,129,22,22,http://192.168.1.107:8080/books/add,236,0,0
