timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1739579919958,824,Show List Form,200,,MainThreadGroup 1-1,text,true,,19544,185,13,13,http://192.168.1.107:8080/books,820,0,33
1739579920050,735,Show List Form,200,,MainThreadGroup 1-3,text,true,,19544,185,13,13,http://192.168.1.107:8080/books,728,0,1
1739579920158,632,Show List Form,200,,MainThreadGroup 1-4,text,true,,19544,185,13,13,http://192.168.1.107:8080/books,629,0,1
1739579920684,121,Show List Form,200,,MainThreadGroup 1-9,text,true,,19544,185,13,13,http://192.168.1.107:8080/books,94,0,3
1739579919958,851,Show List Form,200,,MainThreadGroup 1-2,text,true,,19544,185,14,14,http://192.168.1.107:8080/books,837,0,33
1739579920471,342,Show List Form,200,,MainThreadGroup 1-7,text,true,,19544,185,14,14,http://192.168.1.107:8080/books,318,0,1
1739579920577,244,Show List Form,200,,MainThreadGroup 1-8,text,true,,19544,185,14,14,http://192.168.1.107:8080/books,240,0,1
1739579920262,562,Show List Form,200,,MainThreadGroup 1-5,text,true,,19544,185,14,14,http://192.168.1.107:8080/books,548,0,1
1739579920367,458,Show List Form,200,,MainThreadGroup 1-6,text,true,,19544,185,14,14,http://192.168.1.107:8080/books,441,0,1
1739579920788,43,Show List Form,200,,MainThreadGroup 1-10,text,true,,19544,185,14,14,http://192.168.1.107:8080/books,42,0,0
1739579920891,28,Show List Form,200,,MainThreadGroup 1-11,text,true,,19544,185,15,15,http://192.168.1.107:8080/books,26,0,1
1739579920994,22,Show List Form,200,,MainThreadGroup 1-12,text,true,,19544,185,16,16,http://192.168.1.107:8080/books,21,0,2
1739579921097,23,Show List Form,200,,MainThreadGroup 1-13,text,true,,19544,185,17,17,http://192.168.1.107:8080/books,21,0,1
1739579921187,17,Show Add Form,200,,MainThreadGroup 1-3,text,true,,842,129,17,17,http://192.168.1.107:8080/books/add,17,0,0
1739579921191,14,Show Add Form,200,,MainThreadGroup 1-1,text,true,,842,129,17,17,http://192.168.1.107:8080/books/add,13,0,0
1739579921193,12,Show Add Form,200,,MainThreadGroup 1-4,text,true,,842,129,17,17,http://192.168.1.107:8080/books/add,12,0,0
1739579921206,9,Show Add Form,200,,MainThreadGroup 1-9,text,true,,842,129,17,17,http://192.168.1.107:8080/books/add,8,0,0
1739579921211,5,Show Add Form,200,,MainThreadGroup 1-2,text,true,,842,129,17,17,http://192.168.1.107:8080/books/add,5,0,0
1739579921214,5,Show Add Form,200,,MainThreadGroup 1-7,text,true,,842,129,18,18,http://192.168.1.107:8080/books/add,5,0,0
1739579921223,10,Show Add Form,200,,MainThreadGroup 1-8,text,true,,842,129,18,18,http://192.168.1.107:8080/books/add,10,0,0
1739579921227,14,Show Add Form,200,,MainThreadGroup 1-5,text,true,,842,129,18,18,http://192.168.1.107:8080/books/add,14,0,0
1739579921231,11,Show Add Form,200,,MainThreadGroup 1-6,text,true,,842,129,18,18,http://192.168.1.107:8080/books/add,11,0,0
1739579921237,9,Show Add Form,200,,MainThreadGroup 1-10,text,true,,842,129,18,18,http://192.168.1.107:8080/books/add,8,0,0
1739579921208,41,Show List Form,200,,MainThreadGroup 1-14,text,true,,19544,185,18,18,http://192.168.1.107:8080/books,37,0,1
1739579921320,8,Show Add Form,200,,MainThreadGroup 1-11,text,true,,842,129,19,19,http://192.168.1.107:8080/books/add,8,0,0
1739579921310,26,Show List Form,200,,MainThreadGroup 1-15,text,true,,19544,185,19,19,http://192.168.1.107:8080/books,23,0,2
1739579921417,7,Show Add Form,200,,MainThreadGroup 1-12,text,true,,842,129,19,19,http://192.168.1.107:8080/books/add,7,0,0
